ID,JudulBuku,Penulis,Penerbit,JumlahHalaman,Genre,TahunTerbit,ISBN,Stok,TanggalMasuk,Ketersediaan,Deskripsi,TotalDipinjam,
B001,Python Dasar,Andi Wijaya,Informatika,250,Komputer,2020,9.78602E+12,3,1/15/2023,Tersedia,Buku pemrograman Python untuk pemula.,0,
B002,Laskar Pelangi,Andrea Hirata,Bentang Pustaka,529,Fiksi,2005,9.78979E+12,5,2/10/2023,Tersedia,Novel inspiratif berlatar Belitung.,0,
B003,Bumi Manusia,Pramoedya Ananta Toer,Hasta Mitra,535,Fiksi Sejarah,1980,9.7898E+12,4,3/20/2023,Tersedia,Bagian pertama dari Tetralogi Buru,0,
B004,Cantik Itu Luka,Eka Kurniawan,Gramedia Pustaka Utama,537,Fiksi Sastra,2002,9.78602E+12,2,4/5/2023,Tersedia,Kisah epik keluarga dengan latar sejarah Indonesia.,0,
B005,Filosofi Teras,Henry Manampiring,Penerbit Buku Kompas,346,Self-help/Filsafat,2018,9.78602E+12,7,5/11/2023,Tersedia,Pengantar filsafat Stoisisme untuk kehidupan modern.,0,
B006,Sapiens: Riwayat Singkat Umat Manusia,Yuval Noah Harari,KPG (Kepustakaan Populer Gramedia),512,Sejarah/Antropologi,2011,9.78602E+12,3,6/22/2023,Tersedia,Penjelajahan sejarah umat manusia dari zaman batu hingga kini.,0,
B007,Atomic Habits,James Clear,Gramedia Pustaka Utama,320,Self-help/Pengembangan Diri,2018,9.78602E+12,6,7/19/2023,Tersedia,Panduan membangun kebiasaan baik dan menghilangkan kebiasaan buruk.,0,
B008,Pulang,Tere Liye,Republika Penerbit,400,Fiksi Petualangan,2015,9.78602E+12,4,8/1/2023,Tersedia,Kisah petualangan seorang anak dari pedalaman Sumatera.,0,
B009,Laut Bercerita,Leila S. Chudori,KPG (Kepustakaan Populer Gramedia),379,Fiksi Sejarah,2017,9.78602E+12,3,9/14/2023,Tersedia,Novel yang mengangkat kisah aktivis mahasiswa di era Orde Baru.,0,
B010,Gadis Kretek,Ratih Kumala,Gramedia Pustaka Utama,274,Fiksi Sejarah,2012,9.78979E+12,5,10/25/2023,Tersedia,Kisah cinta dan industri kretek di Indonesia pada masa lalu.,0,
B011,Jejak Langkah di Pasir Waktu,Rendra Sanjaya,Pustaka Imaji,320,Petualangan,2019,9.78602E+12,8,1/5/2024,Tersedia,Perjalanan epik melintasi gurun legendaris.,0,
B012,Rahasia Bintang Kejora,Ayu Lestari,Cahaya Pena,280,Fantasi,2021,9.78602E+12,5,1/12/2024,Tersedia,Kisah seorang gadis dengan kekuatan magis tersembunyi.,0,
B013,Memasak Mudah Sehari-hari,Chef Budi,Dapur Kita,150,Kuliner,2022,9.78602E+12,12,1/19/2024,Tersedia,Kumpulan resep praktis untuk keluarga.,0,
B014,Kode Biru Sang Programmer,Diana Putri,Logika Media,450,Teknologi,2020,9.78602E+12,3,1/26/2024,Tersedia,Novel tentang dunia startup dan peretasan.,0,
B015,Taman Bunga di Lembah Sunyi,Indah Permata,Pelangi Kata,210,Romansa,2023,9.78602E+12,6,2/2/2024,Tersedia,Kisah cinta yang tumbuh di tempat tak terduga.,0,
B016,Sejarah Kerajaan Nusantara Kuno,Prof. Agus Salim,Arsip Bangsa,600,Sejarah,2018,9.78602E+12,2,2/9/2024,Tersedia,Penelitian mendalam tentang kerajaan-kerajaan di Indonesia.,0,
B017,Misteri Rumah Tua di Ujung Jalan,Robby Kencana,Jejak Misteri,300,Horor,2022,9.78602E+12,0,2/16/2024,Kosong,Teror supranatural menghantui sebuah rumah kosong.,0,
B018,Belajar Bahasa Jepang Praktis,Kenji Tanaka,Sakura Press,180,Bahasa,2021,9.78602E+12,9,2/23/2024,Tersedia,Panduan cepat menguasai percakapan bahasa Jepang.,0,
B019,Ekonomi Makro Untuk Pemula,Dr. Siti Aminah,Kampus Ilmu,350,Ekonomi,2019,9.78602E+12,4,3/1/2024,Tersedia,Konsep dasar ekonomi makro yang mudah dipahami.,0,
B020,Anak Pemberani dari Desa Naga,Bambang Perkasa,Dongeng Nusantara,120,Anak,2023,9.78602E+12,10,3/8/2024,Tersedia,Cerita anak tentang keberanian dan persahabatan.,0,
B021,Revolusi Digital dan Masa Depan,Doni Setiawan,Era Baru Publishing,420,Sains Populer,2022,9.78602E+12,5,3/15/2024,Tersedia,Analisis dampak teknologi pada masyarakat.,0,
B022,Ketika Senja Menyapa Jakarta,Clara Adinda,Metro Fiksi,290,Fiksi Urban,2021,9.78602E+12,7,3/22/2024,Tersedia,Potret kehidupan dan cinta di kota metropolitan.,0,
B023,Panduan Investasi Saham Cerdas,Rian Wijaya,Modal Cerdas,260,Bisnis/Investasi,2023,9.78602E+12,11,3/29/2024,Tersedia,Strategi investasi untuk investor pemula dan menengah.,0,
B024,Biografi Pahlawan Kemerdekaan,Tim Sejarawan,Jasa Pahlawan,550,Biografi,2017,9.78602E+12,3,4/5/2024,Tersedia,Kumpulan kisah hidup para pejuang kemerdekaan Indonesia.,0,
B025,Syair Rindu di Tepi Pantai,Elina Sari,Nada Puitis,90,Puisi,2024,9.78602E+12,8,4/12/2024,Tersedia,Kumpulan puisi tentang cinta,0, dan harapan.
B026,Jaringan Neural Tiruan,Dr. Elara Vance,Pustaka Cyber,450,teknologi,2024,9.78316E+12,12,5/15/2024,Tersedia,Dasar-dasar dan implementasi Jaringan Neural Tiruan terkini.,0,
]3-11-20,Tersedia,Sekelompok remaja terjebak dalam hotel angker penuh rahasia kelam.,,,,,,,,,,0,
B028,Operasi Matahari Merah,Rex Thunder,Aksara Laga,320,aksi,2025,9.78235E+12,15,1/10/2025,Tersedia,Misi berbahaya seorang agen rahasia untuk menghentikan konspirasi global.,0,
B029,Negeri Awan Kristal,Lyra Snow,Imaji Fantasia,510,fantasi,2022,9.78346E+12,9,8/3/2022,Tersedia,Petualangan epik di dunia sihir dengan naga dan artefak kuno.,0,
B030,Tertawa Sampai Pagi,Koko Wijaya,Gelak Tawa Press,180,comedi,2024,9.78457E+12,22,3/1/2024,Tersedia,Kumpulan cerita pendek lucu dan absurd tentang kehidupan sehari-hari.,0,
B031,Ritual Berdarah Dingin,Vargo Corpse,Nokturnal Books,220,gore,2023,9.78568E+12,4,9/25/2023,Tersedia,Detail mengerikan dari serangkaian pembunuhan ritualistik yang brutal.,0,
B032,Senandung Cinta di Kafe Senja,Clara Belle,Melodi Hati,260,romantis,2025,9.78679E+12,18,2/14/2025,Tersedia,Kisah cinta dua jiwa yang bertemu tak sengaja di sebuah kafe kecil.,0,
B033,Koloni Antariksa Kepler-186f,Dr. Aris Nova,Galaksi Pustaka,390,scifi,2024,9.78789E+12,11,4/22/2024,Tersedia,Perjuangan umat manusia membangun peradaban baru di planet asing.,0,
B034,Secangkir Teh dan Obrolan Pagi,Hana Yulia,Jendela Kehidupan,210,slice of life,2023,9.7889E+12,14,6/17/2023,Tersedia,Potongan-potongan momen sederhana namun bermakna dari kehidupan seorang barista.,0,
B035,Panggung Sandiwara Kehidupan,Andra Pratama,Tirai Pustaka,330,drama,2022,9.78901E+12,6,12/5/2022,Tersedia,"Intrik keluarga, pengkhianatan, dan pencarian jati diri seorang pewaris.",0,
B036,Labirin Pikiran Alex,Dr. Evelyn Reed,Mind Matters Publishing,300,psikological,2024,9.78012E+12,8,2/28/2024,Tersedia,Perjalanan seorang pasien amnesia mengungkap trauma masa lalu yang kompleks.,0,
B037,Kecerdasan Buatan Lanjutan,Prof. Budi Santoso,Tekno Press,520,teknologi,2025,9.78159E+12,10,3/19/2025,Tersedia,"Pembahasan mendalam tentang machine learning, deep learning, dan AI generatif.",0,
B038,Hantu Tanpa Wajah,Adhitama Graveyard,Pena Gelap,250,horor,2022,9.78247E+12,5,7/14/2022,Tersedia,Teror arwah penasaran yang mencari korban di sebuah asrama tua.,0,
B039,Serbuan Fajar Menyingsing,Marco Blade,Combat Books,350,aksi,2024,9.78369E+12,17,1/30/2024,Tersedia,Pasukan khusus melawan kartel narkoba di perbatasan yang berbahaya.,0,
B040,Mahkota Peri Es,Elara Moonwish,Dunia Ajaib,480,fantasi,2023,9.78483E+12,10,10/3/2023,Tersedia,Perebutan mahkota ajaib yang menentukan nasib kerajaan peri.,0,
B041,Lawak Zaman Now,Udin Cengengesan,Humor Kita,160,comedi,2025,9.78596E+12,20,4/1/2025,Tersedia,Kumpulan stand-up comedy dan sketsa satir tentang tren viral.,0,
B042,Museum Daging Manusia,Goryeo Nightshade,Obscura Press,200,gore,2022,9.78609E+12,3,5/29/2022,Tersedia,Investigasi seorang detektif pada kasus mutilasi yang mengarah ke kolektor mengerikan.,0,
B043,Surat Cinta Untuk Langit,Aurora Bintang,Kata Hati Pustaka,230,romantis,2024,9.78713E+12,16,5/5/2024,Tersedia,Korespondensi romantis antara seorang pelukis dan astronom yang tak pernah bertemu.,0,
B044,Penjelajah Dimensi X,Kapten Orion,Quantum Publishing,410,scifi,2023,9.78826E+12,9,8/18/2023,Tersedia,Petualangan tim ilmuwan menembus portal ke dimensi lain yang aneh.,0,
B045,Warung Kopi Pak Budi,Sari Puspita,Cerita Sehari-hari,190,slice of life,2025,9.7894E+12,13,1/5/2025,Tersedia,Kisah-kisah hangat dan lucu dari para pelanggan tetap sebuah warung kopi.,0,
B046,Air Mata Ibu Pertiwi,Dewangga Putra,Sajak Bangsa,310,drama,2022,9.78053E+12,7,10/27/2022,Tersedia,Drama keluarga yang berlatar belakang peristiwa sejarah penting Indonesia.,0,
B047,Bayang-Bayang Kepribadian Ganda,Dr. Kenzo Tanaka,Psyche Books,290,psikological,2024,9.78166E+12,10,3/11/2024,Tersedia,Studi kasus mendalam tentang seseorang dengan Dissociative Identity Disorder.,0,
B048,Pemrograman Kuantum Praktis,Dr. Anya Sharma,Inovasi Digital,490,teknologi,2023,9.7828E+12,6,7/7/2023,Tersedia,Pengenalan dan contoh aplikasi komputer kuantum untuk non-fisikawan.,0,
B049,Jeritan di Malam Buta,Nyx Terror,Malam Seram Press,265,horor,2025,9.78393E+12,11,2/22/2025,Tersedia,Legenda urban tentang makhluk malam yang meneror sebuah desa terpencil.,0,
B050,Pembalasan Sang Elang Hitam,Leo Hunter,Adrenalin Books,340,aksi,2022,9.78406E+12,14,9/9/2022,Tersedia,Seorang mantan tentara bayaran memburu orang-orang yang mengkhianatinya.,0,
B051,Kerajaan Elf di Hutan Larangan,Silvanus Silverwood,Elven Chronicles,520,fantasi,2024,9.78519E+12,12,1/18/2024,Tersedia,Kisah perebutan takhta dan sihir kuno di antara bangsa elf.,0,
B052,Kumpulan Lelucon Pak RT,Cak Slamet,Guyonan Desa,150,comedi,2023,9.78633E+12,19,7/22/2023,Tersedia,Humor khas pedesaan yang mengocok perut dari pengalaman seorang RT.,0,
B053,Darah di Atas Kanvas,Victor Morte,Galeri Noda,240,gore,2025,9.78746E+12,6,3/3/2025,Tersedia,Seorang pelukis psikopat menggunakan darah korbannya sebagai medium seni.,0,
B054,Janji Hati di Bawah Purnama,Luna Kasih,Romansa Abadi,275,romantis,2022,9.78859E+12,14,11/30/2022,Tersedia,"Dua hati yang terpisah oleh takdir, bersatu kembali di malam purnama.",0,
B055,Armada Bintang Jatuh,Navigator Xenon,Kosmik Saga,430,scifi,2024,9.78973E+12,9,4/11/2024,Tersedia,Peperangan antargalaksi untuk memperebutkan sumber energi terakhir di alam semesta.,0,
B056,Catatan Harian Kedai Kopi Pelangi,Rina Amelia,Harmoni Pagi,200,slice of life,2023,9.78086E+12,16,5/9/2023,Tersedia,Kisah-kisah kecil penuh kehangatan dari interaksi pemilik kedai kopi dan pelanggannya.,0,
B057,Tirai Besi Keluarga Adidharma,Raditya Sastra,Dinasti Pustaka,360,drama,2025,9.782E+12,7,2/1/2025,Tersedia,Konflik internal keluarga konglomerat yang penuh intrik dan rahasia.,0,
B058,Sindrom Identitas Terpecah,Dr. Riana Alamsyah,Jurnal Jiwa,310,psikological,2022,9.78213E+12,10,8/25/2022,Tersedia,Analisis kasus seorang pasien dengan banyak kepribadian yang saling bertentangan.,0,
B059,Etika Kecerdasan Artifisial,Prof. Halim Wijaya,Forum AI,400,teknologi,2024,9.78326E+12,13,3/28/2024,Tersedia,Dilema moral dan etika dalam pengembangan kecerdasan buatan tingkat lanjut.,0,
B060,Apartemen Nomor 13,Dimas Angkara,Lantai Terkutuk,270,horor,2023,9.7844E+12,5,10/12/2023,Tersedia,Penghuni baru sebuah apartemen diganggu oleh entitas gaib yang kejam.,0,
B061,Misi Penyelamatan Presiden,Kapten Baja,Serbu Kilat Press,330,aksi,2025,9.78553E+12,18,4/20/2025,Tersedia,Sebuah tim elit berpacu dengan waktu untuk menyelamatkan presiden dari penculikan teroris.,0,
B062,Pedang Naga Kembar,Aria Windrider,Legenda Fantastika,490,fantasi,2022,9.78666E+12,11,6/6/2022,Tersedia,Dua saudara kembar terpilih untuk menemukan pedang pusaka guna mengalahkan tiran jahat.,0,
B063,Sekolah Paling Kocak Sedunia,Joni Garing,Tawa Ceria Publishing,170,comedi,2024,9.7878E+12,21,1/2/2024,Tersedia,Kekonyolan guru dan murid di sekolah yang semua aturannya aneh.,0,
B064,Pesta Topeng Berdarah,Silas Nightfall,Crimson Tales,210,gore,2023,9.78893E+12,0,4/19/2023,Kosong,Sebuah pesta topeng mewah berubah menjadi ajang pembantaian brutal.,0,
B065,Cinta Pertama di Musim Sakura,Hana Aiko,Kisah Bunga,250,romantis,2025,9.78906E+12,15,3/15/2025,Tersedia,Romansa manis antara pelajar pertukaran dan gadis lokal di bawah mekarnya bunga sakura.,0,
B066,Planet Para Robot Pemberontak,Cyrax Prime,Logam Pustaka,450,scifi,2022,9.7802E+12,8,12/12/2022,Tersedia,Masa depan di mana robot dengan kesadaran memberontak melawan pencipta manusia mereka.,0,
B067,Warung Nasi Ibu Sumi,Adi Setiawan,Cerita Rakyat Urban,180,slice of life,2024,9.78133E+12,17,5/25/2024,Tersedia,Kehidupan sehari-hari para pedagang dan pembeli di sekitar warung nasi legendaris.,0,
B068,Rahasia Gelap Sang Politikus,Marcus Integrity,Panggung Belakang,380,drama,2023,9.78246E+12,6,9/3/2023,Tersedia,Terungkapnya skandal korupsi dan permainan kotor seorang politikus ternama.,0,
B069,Terapi Mimpi Buruk,Dr. Alan Spectra,Alam Bawah Sadar Press,300,psikological,2025,9.7836E+12,9,1/24/2025,Tersedia,Seorang terapis membantu pasien mengatasi mimpi buruk berulang yang mengancam kewarasannya.,0,
B070,Revolusi Bio-informatika,Dr. Liana Genom,Sains Masa Depan,420,teknologi,2022,9.78473E+12,12,7/1/2022,Tersedia,Peran bio-informatika dalam memecahkan misteri genetika dan pengembangan obat.,0,
B071,Desa Penari Ular,Maya Sari,Klenik Nusantara,290,horor,2024,9.78586E+12,4,2/15/2024,Tersedia,Tim peneliti budaya tersesat di desa terpencil dengan ritual pemujaan ular yang mengerikan.,0,
B072,Kejar Tayang Misi Mustahil,Alex Viper,Laga Cepat,310,aksi,2023,9.787E+12,16,6/29/2023,Tersedia,Seorang kurir khusus harus mengantarkan paket rahasia melewati berbagai rintangan mematikan.,0,
B073,Gerbang Dunia Bawah Tanah,Raka Shadowhand,Petualang Gelap,500,fantasi,2025,9.78713E+12,10,5/1/2025,Tersedia,Pencarian gerbang mitos yang menghubungkan dunia manusia dengan dunia makhluk gaib.,0,
B074,Klub Komedi Anti Galau,Budi Ceria,Senyum Manis Publishing,190,comedi,2022,9.78826E+12,20,10/10/2022,Tersedia,Usaha sekelompok orang membangun klub komedi untuk menyebarkan tawa di kota mereka.,0,
B075,Kolektor Bagian Tubuh,Mortis Cutter,Graveyard Press,230,gore,2024,9.7894E+12,2,4/4/2024,Tersedia,Detektif veteran memburu pembunuh berantai yang mengoleksi bagian tubuh korbannya.,0,
B076,Cinta Bersemi di Kebun Teh,Rani Puspita,Lembah Asmara,260,romantis,2023,9.78043E+12,18,11/8/2023,Tersedia,Kisah asmara antara pemilik kebun teh dan seorang turis yang tersesat.,0,
B077,Invasi Robot dari Mars,Jenderal Zorg,Planet Merah Press,440,scifi,2025,9.78157E+12,10,2/19/2025,Tersedia,Bumi diserang oleh pasukan robot canggih dari planet Mars.,0,
B078,Diari Seorang Penjaga Mercusuar,Pak Tua Samudra,Cahaya Pantai,205,slice of life,2022,9.78269E+12,15,6/14/2022,Tersedia,Renungan dan kisah sehari-hari seorang penjaga mercusuar di pulau terpencil.,0,
B079,Kutukan Keluarga Bangsawan,Lady Victoria,Manor Kelam,370,drama,2024,9.78382E+12,7,1/7/2024,Tersedia,Sebuah kutukan turun-temurun menghantui keluarga bangsawan kaya raya.,0,
B080,Memahami Alam Pikiran Kucing,Dr. Meowgaret Catson,Felidae Pustaka,315,psikological,2023,9.78496E+12,11,8/1/2023,Tersedia,Penelitian ilmiah dan observasi tentang perilaku dan psikologi kucing domestik.,0,
B081,Blockchain dan Mata Uang Kripto,Alex Crypto,Dunia Digital,390,teknologi,2025,9.78509E+12,14,4/15/2025,Tersedia,Panduan lengkap memahami teknologi blockchain dan investasi mata uang kripto.,0,
B082,Rumah Sakit Jiwa Terlantar,Dr. Insanus,Koridor Gila,275,horor,2022,9.78622E+12,6,10/2/2022,Tersedia,Sekelompok mahasiswa kedokteran melakukan uji nyali di rumah sakit jiwa angker.,0,
B083,Operasi Penyelundupan Berlian,"Silas ""Diamond"" Drake",Jaringan Gelap,325,aksi,2024,9.78736E+12,19,5/28/2024,Tersedia,Mantan pencuri ulung direkrut untuk misi berbahaya mencuri kembali berlian langka.,0,
B084,Negeri Para Penyihir Angin,Aerion Stormcaller,Sihir Elemental,530,fantasi,2023,9.78849E+12,9,3/12/2023,Tersedia,Perjalanan seorang pemuda menemukan bakat sihir anginnya di negeri ajaib.,0,
B085,Sitkom Kantor Paling Rusuh,Manager Edan,Chaos Corp Publishing,175,comedi,2025,9.78962E+12,23,1/29/2025,Tersedia,Kumpulan sketsa komedi tentang kekacauan sehari-hari di sebuah kantor.,0,
B086,Jagal dari Distrik Merah,Blade X,Distopia Press,215,gore,2022,9.78076E+12,0,11/11/2022,Kosong,Kisah mengerikan seorang pembunuh berantai yang meneror distrik kumuh.,0,
B087,Melodi Cinta Tak Terucap,Leo Nada,Harmoni Jiwa,265,romantis,2024,9.78189E+12,17,2/21/2024,Tersedia,Cinta platonis yang mendalam antara seorang komposer dan penyanyi opera.,0,
B088,Perang Bintang Abad Ke-25,Laksamana Nova Starfire,Federasi Galaktika,460,scifi,2023,9.78202E+12,12,9/16/2023,Tersedia,Konflik epik antara Federasi Bumi dan Kekaisaran Krull di masa depan.,0,
B089,Surat Dari Perantauan,Anak Desa,Kenangan Kampung,195,slice of life,2025,9.78316E+12,16,3/23/2025,Tersedia,Kumpulan surat seorang perantau yang merindukan kampung halamannya.,0,
B090,Mahligai Pernikahan Berdarah,Ratu Isabella,Istana Duka,350,drama,2022,9.78429E+12,5,7/28/2022,Tersedia,Pernikahan politik yang berakhir tragis dengan pembunuhan dan perebutan kekuasaan.,0,
B091,Eksperimen Telepati Gagal,Dr. Mindbender,Lab Rahasia,305,psikological,2024,9.78542E+12,8,4/3/2024,Tersedia,Sebuah eksperimen telepati yang salah mengakibatkan konsekuensi mengerikan.,0,
B092,Komputasi Awan Skala Besar,Prof. Cloudia Data,Mega Server Press,410,teknologi,2023,9.78656E+12,13,6/5/2023,Tersedia,Arsitektur dan manajemen sistem komputasi awan untuk perusahaan besar.,0,
B093,Boneka Arwah Penunggu Loteng,Lila Creepy,Rumah Hantu Publishing,285,horor,2025,9.78769E+12,10,5/10/2025,Tersedia,Sebuah keluarga baru pindah ke rumah yang lotengnya dihuni boneka berarwah jahat.,0,
B094,Pemburu Artefak Kuno,Dr. Indiana Jonesy,Petualang Dunia,335,aksi,2022,9.78882E+12,20,8/11/2022,Tersedia,Arkeolog pemberani mencari artefak legendaris yang diincar organisasi jahat.,0,
B095,Akademi Penyihir Cahaya dan Kegelapan,Merlin Shadowcaster,Grimoire Ajaib,540,fantasi,2024,9.78996E+12,11,2/8/2024,Tersedia,Persaingan dan persahabatan di akademi sihir yang melatih penyihir dari dua aliran.,0,
B096,Salah Sambung Paling Gokil,Tele Poni,Operator Kocak,165,comedi,2023,9.78009E+12,25,10/24/2023,Tersedia,Kumpulan percakapan telepon salah sambung yang berujung komedi.,0,
B097,Ruang Autopsi Nomor 4,Dr. Carver,Forensik Files,225,gore,2025,9.78122E+12,4,4/29/2025,Tersedia,Catatan seorang ahli forensik dalam memecahkan kasus pembunuhan dari meja autopsi.,0,
B098,Cinta Segitiga di Kota Metropolitan,Vania Urban,Gemerlap Kota,270,romantis,2022,9.78236E+12,17,9/19/2022,Tersedia,Kisah cinta rumit antara tiga sahabat yang tinggal di kota besar.,0,
B099,Serangan Alien Hibrida,Komandan Sky,Pertahanan Bumi,470,scifi,2024,9.78349E+12,9,1/14/2024,Tersedia,Invasi alien yang menggunakan teknologi hibrida untuk menaklukkan Bumi.,0,
B100,Secarik Kertas dari Masa Lalu,Nenek Laila,Album Kenangan,185,slice of life,2023,9.78462E+12,16,7/1/2023,Tersedia,Penemuan secarik kertas tua mengungkap kisah cinta terpendam dari masa muda seorang nenek.,0,
B101,Prahara di Istana Kristal,Putri Aurora,Saga Kerajaan,360,drama,2025,9.78576E+12,6,3/9/2025,Tersedia,Perebutan kekuasaan dan pengkhianatan di balik kemegahan istana kristal.,0,
B102,Jejak Kaki di Bulan Europa,Dr. Titan Explorer,Ekspedisi Antariksa,320,psikological,2023,9.78689E+12,9,10/17/2023,Tersedia,Seorang astronot mengalami isolasi ekstrem dan mempertanyakan realitas di bulan Jupiter.,0,
B103,Robotika Sosial Interaktif,Prof. Andro Cyber,Masa Depan Cerdas,415,teknologi,2024,9.78702E+12,12,4/25/2024,Tersedia,Pengembangan robot yang mampu berinteraksi secara emosional dan sosial dengan manusia.,0,
B104,Vila Mawar Berhantu,Casper Ghostly,Rumah Penerbit Seram,295,horor,2022,9.78816E+12,7,8/28/2022,Tersedia,Pasangan muda membeli vila impian yang ternyata dihuni arwah penasaran pemilik sebelumnya.,0,
B105,Tim Pemburu Harta Karun Naga,Kapten Gold Digger,Peta Petualangan,345,aksi,2025,9.78929E+12,17,1/3/2025,Tersedia,Sekelompok pemburu harta karun bertaruh nyawa mencari emas peninggalan naga kuno.,0,
B106,Dunia Permen Pelangi,Lila Sweet,Fantasi Manis,495,fantasi,2023,9.78042E+12,10,5/2/2023,Tersedia,Petualangan seorang anak di dunia ajaib yang terbuat dari permen dan kue.,0,
B107,Calon Mantu Paling Konyol,Dadang Sutisna,Keluarga Ceria,180,comedi,2024,9.78156E+12,21,2/11/2024,Tersedia,Usaha seorang pemuda merebut hati calon mertua dengan cara-cara yang absurd.,0,
B108,Kamar Operasi Tanpa Anestesi,Dr. Slasher,Rekam Medis Brutal,235,gore,2022,9.78269E+12,4,11/4/2022,Tersedia,Kisah nyata (fiksi) seorang ahli bedah gila yang melakukan eksperimen sadis pada pasiennya.,0,
B109,Rhapsody Cinta Musim Gugur,Serena Melody,Nada Romantis,270,romantis,2025,9.78382E+12,16,4/1/2025,Tersedia,Kisah cinta antara seorang pianis dan penulis puisi di tengah indahnya musim gugur.,0,
B110,Kronik Peradaban Centauri,Alpha Centurion,Arsip Bintang,455,scifi,2023,9.78496E+12,8,9/9/2023,Tersedia,Catatan sejarah panjang peradaban maju di sistem bintang Alpha Centauri.,0,
B111,Warung Teh di Simpang Jalan,Mbah Sastro,Obrolan Sore,190,slice of life,2024,9.78509E+12,14,1/20/2024,Tersedia,Kehidupan sehari-hari dan interaksi unik para pengunjung warung teh sederhana.,0,
B112,Skandal Menteri Keuangan,Investigator X,Jejak Skandal,375,drama,2022,9.78622E+12,5,7/15/2022,Tersedia,Pengungkapan kasus korupsi besar yang melibatkan pejabat tinggi negara.,0,
B113,Permainan Pikiran Sang Hipnotis,Prof. Svengali,Kendali Jiwa Press,310,psikological,2025,9.78736E+12,10,2/26/2025,Tersedia,Seorang hipnoterapis menggunakan kemampuannya untuk memanipulasi pikiran orang lain demi keuntungan pribadi.,0,
B114,Internet of Things Terapan,Dr. Connecto,Sistem Cerdas,400,teknologi,2023,9.78849E+12,11,6/21/2023,Tersedia,Implementasi praktis IoT dalam berbagai industri dan kehidupan sehari-hari.,0,
B115,Penunggu Sumur Tua Keramat,Ki Misteri,Cerita Gaib Lokal,280,horor,2024,9.78962E+12,0,3/17/2024,Kosong,Gangguan makhluk halus dari sumur tua yang dianggap keramat oleh warga desa.,0,
B116,Pasukan Khusus Anti Teror Global,Kolonel Rhino,Benteng Pertahanan,355,aksi,2022,9.78076E+12,19,12/1/2022,Tersedia,Operasi senyap pasukan khusus memberantas jaringan teroris internasional.,0,
B117,Lembah Para Griffin Penjaga,Elara Skywing,Mitologi Fantastis,505,fantasi,2025,9.78189E+12,13,5/22/2025,Tersedia,Perjalanan seorang pahlawan mencari bantuan Griffin legendaris untuk menyelamatkan kerajaannya.,0,
B118,Salah Kostum di Pesta Halloween,Cupu Maksimal,Gagal Keren Ent.,170,comedi,2023,9.78202E+12,24,10/31/2023,Tersedia,Kekacauan akibat salah memakai kostum di pesta Halloween paling bergengsi.,0,
B119,Hotel Pemakan Tamu,Innkeeper Death,Lorong Berdarah Books,245,gore,2024,9.78315E+12,3,5/7/2024,Tersedia,Para tamu sebuah hotel terpencil satu per satu menghilang secara mengerikan.,0,
B120,Melukis Pelangi di Hatimu,Arjuna Cinta,Kanvas Asmara,255,romantis,2022,9.78429E+12,15,9/27/2022,Tersedia,Seorang pelukis menemukan kembali inspirasinya setelah bertemu dengan cinta sejatinya.,0,
B121,Kapal Induk Generasi Kelima,Admiral Stargazer,Armada Masa Depan,465,scifi,2025,9.78542E+12,9,3/1/2025,Tersedia,Pengembangan dan uji coba kapal induk antariksa dengan teknologi revolusioner.,0,
B122,Keseharian Tukang Ojek Online,Bang Ojol Santuy,Aspal Panas Stories,200,slice of life,2023,9.78655E+12,18,8/14/2023,Tersedia,Suka duka dan cerita unik seorang tukang ojek online dalam menjalani profesinya.,0,
